[GLUe]_0	(Growth).Flux
7.85	0.0133878	
7.875	0.0133965	
7.9	0.0134052	
7.925	0.0134138	
7.95	0.0134224	
7.975	0.013431	
8	0.0134395	
8.025	0.0134479	
8.05	0.0134563	
8.075	0.0134647	
8.1	0.013473	
8.125	0.0134813	
8.15	0.0134895	
8.175	0.0134977	
8.2	0.0135059	
8.225	0.013514	
8.25	0.013522	
8.275	0.01353	
8.3	0.013538	
8.325	0.013546	
8.35	0.0135539	
8.375	0.0135617	
8.4	0.0135695	
8.425	0.0135773	
8.45	0.013585	
8.475	0.0135927	
8.5	0.0136004	
8.525	0.013608	
8.55	0.0136156	
8.575	0.0136232	
8.6	0.0136307	
8.625	0.0136381	
8.65	0.0136456	
8.675	0.013653	
8.7	0.0136603	
8.725	0.0136677	
8.75	0.0136749	
8.775	0.0136822	
8.8	0.0136894	
8.825	0.0136966	
8.85	0.0137038	
8.875	0.0137109	
8.9	0.013718	
8.925	0.013725	
8.95	0.013732	
8.975	0.013739	
9	0.013746	
9.025	0.0137529	
9.05	0.0137598	
9.075	0.0137666	
9.1	0.0137734	
9.125	0.0137802	
9.15	0.013787	
9.175	0.0137937	
9.2	0.0138004	
9.225	0.0138071	
9.25	0.0138137	
9.275	0.0138203	
9.3	0.0138269	
9.325	0.0138334	
9.35	0.0138399	
9.375	0.0138464	
9.4	0.0138529	
9.425	0.0138593	
9.45	0.0138657	
9.475	0.0138721	
9.5	0.0138784	
9.525	0.0138847	
9.55	0.013891	
9.575	0.0138973	
9.6	0.0139035	
9.625	0.0139097	
9.65	0.0139159	
9.675	0.0139221	
9.7	0.0139282	
9.725	0.0139343	
9.75	0.0139404	
9.775	0.0139464	
9.8	0.0139524	
9.825	0.0139584	
9.85	0.0139644	
9.875	0.0139703	
9.9	0.0139763	
9.925	0.0139822	
9.95	0.013988	
9.975	0.0139939	
10	0.0139997	
10.025	0.0140055	
10.05	0.0140113	
10.075	0.014017	
10.1	0.0140228	
10.125	0.0140285	
10.15	0.0140341	
10.175	0.0140398	
10.2	0.0140454	
10.225	0.014051	
10.25	0.0140566	
10.275	0.0140622	
10.3	0.0140677	
10.325	0.0140733	
10.35	0.0140788	
10.375	0.0140842	
10.4	0.0140897	
10.425	0.0140951	
10.45	0.0141005	
10.475	0.0141059	
10.5	0.0141113	
10.525	0.0141166	
10.55	0.014122	
10.575	0.0141273	
10.6	0.0141326	
10.625	0.0141378	
10.65	0.0141431	
10.675	0.0141483	
10.7	0.0141535	
10.725	0.0141587	
10.75	0.0141639	
10.775	0.014169	
10.8	0.0141741	
10.825	0.0141792	
10.85	0.0141843	
10.875	0.0141894	
10.9	0.0141944	
10.925	0.0141995	
10.95	0.0142045	
10.975	0.0142095	
11	0.0142144	
11.025	0.0142194	
11.05	0.0142243	
11.075	0.0142293	
11.1	0.0142342	
11.125	0.014239	
11.15	0.0142439	
11.175	0.0142487	
11.2	0.0142536	
11.225	0.0142584	
11.25	0.0142632	
11.275	0.014268	
11.3	0.0142727	
11.325	0.0142775	
11.35	0.0142822	
11.375	0.0142869	
11.4	0.0142916	
11.425	0.0142963	
11.45	0.0143009	
11.475	0.0143056	
11.5	0.0143102	
11.525	0.0143148	
11.55	0.0143194	
11.575	0.014324	
11.6	0.0143285	
11.625	0.0143331	
11.65	0.0143376	
11.675	0.0143421	
11.7	0.0143466	
11.725	0.0143511	
11.75	0.0143556	
11.775	0.01436	
11.8	0.0143644	
11.825	0.0143689	
11.85	0.0143733	
11.875	0.0143777	
11.9	0.014382	
11.925	0.0143864	
11.95	0.0143907	
11.975	0.0143951	
12	0.0143994	
12.025	0.0144037	
12.05	0.014408	
12.075	0.0144122	
12.1	0.0144165	
12.125	0.0144207	
12.15	0.014425	
12.175	0.0144292	
12.2	0.0144334	
12.225	0.0144376	
12.25	0.0144418	
12.275	0.0144459	
12.3	0.0144501	
12.325	0.0144542	
12.35	0.0144583	
12.375	0.0144624	
12.4	0.0144665	
12.425	0.0144706	
12.45	0.0144747	
12.475	0.0144787	
12.5	0.0144828	
12.525	0.0144868	
12.55	0.0144908	
12.575	0.0144948	
12.6	0.0144988	
12.625	0.0145028	
12.65	0.0145068	
12.675	0.0145107	
12.7	0.0145146	
12.725	0.0145186	
12.75	0.0145225	
12.775	0.0145264	
12.8	0.0145303	
12.825	0.0145342	
12.85	0.014538	
12.875	0.0145419	
12.9	0.0145457	
12.925	0.0145496	
12.95	0.0145534	
12.975	0.0145572	
13	0.014561	
13.025	0.0145648	
13.05	0.0145685	
13.075	0.0145723	
13.1	0.014576	
13.125	0.0145798	
13.15	0.0145835	
13.175	0.0145872	
13.2	0.0145909	
13.225	0.0145946	
13.25	0.0145983	
13.275	0.014602	
13.3	0.0146056	
13.325	0.0146093	
13.35	0.0146129	
13.375	0.0146165	
13.4	0.0146202	
13.425	0.0146238	
13.45	0.0146274	
13.475	0.0146309	
13.5	0.0146345	
13.525	0.0146381	
13.55	0.0146416	
13.575	0.0146452	
13.6	0.0146487	
13.625	0.0146522	
13.65	0.0146557	
13.675	0.0146593	
13.7	0.0146627	
13.725	0.0146662	
13.75	0.0146697	
13.775	0.0146732	
13.8	0.0146766	
13.825	0.0146801	
13.85	0.0146835	
13.875	0.0146869	
13.9	0.0146903	
13.925	0.0146937	
13.95	0.0146971	
13.975	0.0147005	
14	0.0147039	
14.025	0.0147072	
14.05	0.0147106	
14.075	0.0147139	
14.1	0.0147173	
14.125	0.0147206	
14.15	0.0147239	
14.175	0.0147272	
14.2	0.0147305	
14.225	0.0147338	
14.25	0.0147371	
14.275	0.0147404	
14.3	0.0147436	
14.325	0.0147469	
14.35	0.0147501	
14.375	0.0147534	
14.4	0.0147566	
14.425	0.0147598	
14.45	0.014763	
14.475	0.0147662	
14.5	0.0147694	
14.525	0.0147726	
14.55	0.0147758	
14.575	0.014779	
14.6	0.0147821	
14.625	0.0147853	
14.65	0.0147884	
14.675	0.0147915	
14.7	0.0147947	
14.725	0.0147978	
14.75	0.0148009	
14.775	0.014804	
14.8	0.0148071	
14.825	0.0148102	
14.85	0.0148132	
14.875	0.0148163	
14.9	0.0148194	
14.925	0.0148224	
14.95	0.0148255	
14.975	0.0148285	
15	0.0148315	
15.025	0.0148346	
15.05	0.0148376	
15.075	0.0148406	
15.1	0.0148436	
15.125	0.0148466	
15.15	0.0148495	
15.175	0.0148525	
15.2	0.0148555	
15.225	0.0148584	
15.25	0.0148614	
15.275	0.0148643	
15.3	0.0148673	
15.325	0.0148702	
15.35	0.0148731	
15.375	0.014876	
15.4	0.0148789	
15.425	0.0148818	
15.45	0.0148847	
15.475	0.0148876	
15.5	0.0148905	
15.525	0.0148934	
15.55	0.0148962	
15.575	0.0148991	
15.6	0.0149019	
15.625	0.0149048	
15.65	0.0149076	
15.675	0.0149104	
15.7	0.0149133	
15.725	0.0149161	
15.75	0.0149189	
15.775	0.0149217	
15.8	0.0149245	
15.825	0.0149273	
15.85	0.01493	
15.875	0.0149328	
15.9	0.0149356	
15.925	0.0149383	
15.95	0.0149411	
15.975	0.0149438	
16	0.0149466	
16.025	0.0149493	
16.05	0.014952	
16.075	0.0149548	
16.1	0.0149575	
16.125	0.0149602	
16.15	0.0149629	
16.175	0.0149656	
16.2	0.0149683	
16.225	0.0149709	
16.25	0.0149736	
16.275	0.0149763	
16.3	0.0149789	
16.325	0.0149816	
16.35	0.0149842	
16.375	0.0149869	
16.4	0.0149895	
16.425	0.0149922	
16.45	0.0149948	
16.475	0.0149974	
16.5	0.015	
16.525	0.0150026	
16.55	0.0150052	
16.575	0.0150078	
16.6	0.0150104	
16.625	0.015013	
16.65	0.0150156	
16.675	0.0150181	
16.7	0.0150207	
16.725	0.0150233	
16.75	0.0150258	
16.775	0.0150284	
16.8	0.0150309	
16.825	0.0150334	
16.85	0.015036	
16.875	0.0150385	
16.9	0.015041	
16.925	0.0150435	
16.95	0.015046	
16.975	0.0150485	
17	0.015051	
17.025	0.0150535	
17.05	0.015056	
17.075	0.0150585	
17.1	0.0150609	
17.125	0.0150634	
17.15	0.0150659	
17.175	0.0150683	
17.2	0.0150708	
17.225	0.0150732	
17.25	0.0150757	
17.275	0.0150781	
17.3	0.0150805	
17.325	0.015083	
17.35	0.0150854	
17.375	0.0150878	
17.4	0.0150902	
17.425	0.0150926	
17.45	0.015095	
17.475	0.0150974	
17.5	0.0150998	
17.525	0.0151022	
17.55	0.0151045	
17.575	0.0151069	
17.6	0.0151093	
17.625	0.0151116	
17.65	0.015114	
17.675	0.0151164	
17.7	0.0151187	
17.725	0.015121	
17.75	0.0151234	
17.775	0.0151257	
17.8	0.015128	
17.825	0.0151304	
17.85	0.0151327	
17.875	0.015135	
17.9	0.0151373	
17.925	0.0151396	
17.95	0.0151419	
17.975	0.0151442	
18	0.0151465	
18.025	0.0151488	
18.05	0.015151	
18.075	0.0151533	
18.1	0.0151556	
18.125	0.0151578	
18.15	0.0151601	
18.175	0.0151624	
18.2	0.0151646	
18.225	0.0151668	
18.25	0.0151691	
18.275	0.0151713	
18.3	0.0151736	
18.325	0.0151758	
18.35	0.015178	
18.375	0.0151802	
18.4	0.0151824	
18.425	0.0151846	
18.45	0.0151868	
18.475	0.015189	
18.5	0.0151912	
18.525	0.0151934	
18.55	0.0151956	
18.575	0.0151978	
18.6	0.0152	
18.625	0.0152021	
18.65	0.0152043	
18.675	0.0152065	
18.7	0.0152086	
18.725	0.0152108	
18.75	0.0152129	
18.775	0.0152151	
18.8	0.0152172	
18.825	0.0152194	
18.85	0.0152215	
18.875	0.0152236	
18.9	0.0152258	
18.925	0.0152279	
18.95	0.01523	
18.975	0.0152321	
19	0.0152342	
19.025	0.0152363	
19.05	0.0152384	
19.075	0.0152405	
19.1	0.0152426	
19.125	0.0152447	
19.15	0.0152468	
19.175	0.0152489	
19.2	0.0152509	
19.225	0.015253	
19.25	0.0152551	
19.275	0.0152571	
19.3	0.0152592	
19.325	0.0152612	
19.35	0.0152633	
19.375	0.0152653	
19.4	0.0152674	
19.425	0.0152694	
19.45	0.0152715	
19.475	0.0152735	
19.5	0.0152755	
19.525	0.0152775	
19.55	0.0152796	
19.575	0.0152816	
19.6	0.0152836	
19.625	0.0152856	
19.65	0.0152876	
19.675	0.0152896	
19.7	0.0152916	
19.725	0.0152936	
19.75	0.0152956	
19.775	0.0152976	
19.8	0.0152995	
19.825	0.0153015	
19.85	0.0153035	
19.875	0.0153055	
19.9	0.0153074	
19.925	0.0153094	
19.95	0.0153114	
19.975	0.0153133	
20	0.0153153	
20.025	0.0153172	
20.05	0.0153192	
20.075	0.0153211	
20.1	0.015323	
20.125	0.015325	
20.15	0.0153269	
20.175	0.0153288	
20.2	0.0153308	
20.225	0.0153327	
20.25	0.0153346	
20.275	0.0153365	
20.3	0.0153384	
20.325	0.0153403	
20.35	0.0153422	
20.375	0.0153441	
20.4	0.015346	
20.425	0.0153479	
20.45	0.0153498	
20.475	0.0153517	
20.5	0.0153536	
20.525	0.0153554	
20.55	0.0153573	
20.575	0.0153592	
20.6	0.0153611	
20.625	0.0153629	
20.65	0.0153648	
20.675	0.0153666	
20.7	0.0153685	
20.725	0.0153703	
20.75	0.0153722	
20.775	0.015374	
20.8	0.0153759	
20.825	0.0153777	
20.85	0.0153796	
20.875	0.0153814	
20.9	0.0153832	
20.925	0.015385	
20.95	0.0153869	
20.975	0.0153887	
21	0.0153905	
21.025	0.0153923	
21.05	0.0153941	
21.075	0.0153959	
21.1	0.0153977	
21.125	0.0153995	
21.15	0.0154013	
21.175	0.0154031	
21.2	0.0154049	
21.225	0.0154067	
21.25	0.0154085	
21.275	0.0154103	
21.3	0.015412	
21.325	0.0154138	
21.35	0.0154156	
21.375	0.0154173	
21.4	0.0154191	
21.425	0.0154209	
21.45	0.0154226	
21.475	0.0154244	
21.5	0.0154261	
21.525	0.0154279	
21.55	0.0154296	
21.575	0.0154314	
21.6	0.0154331	
21.625	0.0154349	
21.65	0.0154366	
21.675	0.0154383	
21.7	0.0154401	
21.725	0.0154418	
21.75	0.0154435	
21.775	0.0154452	
21.8	0.0154469	
21.825	0.0154487	
21.85	0.0154504	
21.875	0.0154521	
21.9	0.0154538	
21.925	0.0154555	
21.95	0.0154572	
21.975	0.0154589	
22	0.0154606	
22.025	0.0154623	
22.05	0.015464	
22.075	0.0154657	
22.1	0.0154673	
22.125	0.015469	
22.15	0.0154707	
22.175	0.0154724	
22.2	0.015474	
22.225	0.0154757	
22.25	0.0154774	
22.275	0.015479	
22.3	0.0154807	
22.325	0.0154824	
22.35	0.015484	
22.375	0.0154857	
22.4	0.0154873	
22.425	0.015489	
22.45	0.0154906	
22.475	0.0154923	
22.5	0.0154939	
22.525	0.0154955	
22.55	0.0154972	
22.575	0.0154988	
22.6	0.0155004	
22.625	0.0155021	
22.65	0.0155037	
22.675	0.0155053	
22.7	0.0155069	
22.725	0.0155085	
22.75	0.0155101	
22.775	0.0155118	
22.8	0.0155134	
22.825	0.015515	
22.85	0.0155166	
22.875	0.0155182	
22.9	0.0155198	
22.925	0.0155214	
22.95	0.015523	
22.975	0.0155245	
23	0.0155261	
23.025	0.0155277	
23.05	0.0155293	
23.075	0.0155309	
23.1	0.0155325	
23.125	0.015534	
23.15	0.0155356	
23.175	0.0155372	
23.2	0.0155387	
23.225	0.0155403	
23.25	0.0155419	
23.275	0.0155434	
23.3	0.015545	
23.325	0.0155465	
23.35	0.0155481	
23.375	0.0155497	
23.4	0.0155512	
23.425	0.0155527	
23.45	0.0155543	
23.475	0.0155558	
23.5	0.0155574	
23.525	0.0155589	
23.55	0.0155604	
23.575	0.015562	
23.6	0.0155635	
23.625	0.015565	
23.65	0.0155665	
23.675	0.0155681	
23.7	0.0155696	
23.725	0.0155711	
23.75	0.0155726	
23.775	0.0155741	
23.8	0.0155756	
23.825	0.0155772	
23.85	0.0155787	
23.875	0.0155802	
23.9	0.0155817	
23.925	0.0155832	
23.95	0.0155847	
23.975	0.0155862	
24	0.0155876	
24.025	0.0155891	
24.05	0.0155906	
24.075	0.0155921	
24.1	0.0155936	
24.125	0.0155951	
24.15	0.0155965	
24.175	0.015598	
24.2	0.0155995	
24.225	0.015601	
24.25	0.0156024	
24.275	0.0156039	
24.3	0.0156054	
24.325	0.0156068	
24.35	0.0156083	
24.375	0.0156098	
24.4	0.0156112	
24.425	0.0156127	
24.45	0.0156141	
24.475	0.0156156	
24.5	0.015617	
24.525	0.0156185	
24.55	0.0156199	
24.575	0.0156213	
24.6	0.0156228	
24.625	0.0156242	
24.65	0.0156257	
24.675	0.0156271	
24.7	0.0156285	
24.725	0.01563	
24.75	0.0156314	
24.775	0.0156328	
24.8	0.0156342	
24.825	0.0156356	
24.85	0.0156371	
24.875	0.0156385	
24.9	0.0156399	
24.925	0.0156413	
24.95	0.0156427	
24.975	0.0156441	
25	0.0156455	
